City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Temperature (C),Pressure (millibars),Humidity,Wind Speed (km/h)
Ahmedabad,51,90.75,1.6,15.65,9.65,13,0.1,9.03,157.27,32.2,1013.13,35.5,21.3969
Ahmedabad,58,102.75,1.23,14.7,8.8,11.4,0.1,11.88,159.78,32,1014.79,35.6,21.3808
Ahmedabad,67.25,115.5,0.77,16.5,9.38,11.53,0.1,15.75,179.35,30.1,1014.25,35.7,20.0123
Ahmedabad,105.5,170.5,1.85,30.95,17.95,14.35,0.1,18.38,178.88,29.6,1013.95,35.7,16.5025
Ahmedabad,129.5,202.5,1.67,44.75,25.18,14.4,0.1,19.88,153.38,29.4,1013.63,35.5,17.0982
Ahmedabad,144.75,230,1.5,39.77,22.38,19.7,0.08,19.5,134.25,32.5,1013.27,35.3,14.3612
Ahmedabad,144.75,223.25,0.98,33.88,18.8,25.42,0.08,11.15,119.55,33.4,1013.56,35.1,22.0409
Ahmedabad,128.5,186.75,1,34.58,19.18,17.12,0.3,12.95,110.75,27.6,1012.85,35.1,11.3344
Ahmedabad,125.5,186.25,1.05,25.5,14.45,16.05,0.1,12.4,115.12,30,1012.15,35.1,11.2056
Ahmedabad,121,169,1.18,21.25,12.22,14.75,0.1,12.62,118.57,33.5,1011.71,35.1,10.4006
Ahmedabad,117.75,158,0.25,17.47,9.47,14.68,0.1,11,123.48,37.4,1011.28,35.1,12.0106
Ahmedabad,108,152,0.25,23.78,12.85,13.85,0.1,11.17,120.55,44.3,1010.99,35.3,9.2092
Ahmedabad,107.5,154.5,0.35,32.58,17.62,13.95,0.1,9.02,61.75,44.5,1010.93,35.4,9.9015
Ahmedabad,116.75,171.5,0.28,35.02,18.87,16.6,0.1,8.67,64.67,41.8,1010.7,35.4,13.8299
Ahmedabad,120.5,162,0.75,23.65,13.17,24.35,0.15,7.45,99.95,36.9,1010.52,35.5,9.0965
Ahmedabad,124.75,167.25,1.15,27.15,15.35,25.6,0.35,8.62,108.8,33.3,1010.69,35.5,0.644
Ahmedabad,144.25,197.5,2.47,42.03,24.38,20.38,0.4,13.93,94.55,35.5,1010.86,35.5,0.6762
Ahmedabad,118.75,182,3.57,50.3,29.68,21.68,0.3,18.3,95.55,35.5,1011.14,35.5,3.864
Ahmedabad,104.75,169.5,0.9,23.48,13.23,14.12,0.28,25.82,132.3,41.7,1011.64,35.3,7.8246
Ahmedabad,106.5,167.25,1.1,19.8,11.43,12.65,0.1,27.82,136.7,43.2,1012.02,35.2,15.5848
Ahmedabad,88.5,130.25,0.98,14.35,8.45,11.28,0.1,17.65,138.68,36.7,1012.21,35.3,23.6992
Ahmedabad,63.5,102,1.23,15,9,9.15,0.1,11.43,135.72,36.8,1012.33,35.5,20.9622
